inputs=6996 keys=13992 outputs=5585 gates=109767
iteration: 100; vars: 21220614; clauses: 205544; decisions: 61129940
iteration: 101; vars: 21428152; clauses: 205495; decisions: 61164220
iteration: 102; vars: 21635690; clauses: 205470; decisions: 61280160
iteration: 103; vars: 21843228; clauses: 205410; decisions: 63034573
iteration: 104; vars: 22050766; clauses: 204576; decisions: 63102406
iteration: 105; vars: 22258304; clauses: 204345; decisions: 63350788
iteration: 106; vars: 22465842; clauses: 203709; decisions: 63396473
iteration: 107; vars: 22673380; clauses: 203835; decisions: 63674637
iteration: 108; vars: 22880918; clauses: 203734; decisions: 63995751
iteration: 109; vars: 23088456; clauses: 203520; decisions: 64300125
iteration: 110; vars: 23295994; clauses: 203422; decisions: 64381538
iteration: 111; vars: 23503532; clauses: 203494; decisions: 65059178
iteration: 112; vars: 23711070; clauses: 202402; decisions: 65382960
iteration: 113; vars: 23918608; clauses: 202197; decisions: 65412348
iteration: 114; vars: 24126146; clauses: 202102; decisions: 65468366
iteration: 115; vars: 24333684; clauses: 202003; decisions: 65903964
iteration: 116; vars: 24541222; clauses: 201918; decisions: 65972905
iteration: 117; vars: 24748760; clauses: 201971; decisions: 66755869
iteration: 118; vars: 24956298; clauses: 201914; decisions: 66785568
iteration: 119; vars: 25163836; clauses: 201700; decisions: 66812550
iteration: 120; vars: 25371374; clauses: 201523; decisions: 66928037
iteration: 121; vars: 25578912; clauses: 200885; decisions: 67151348
iteration: 122; vars: 25786450; clauses: 200994; decisions: 68395533
iteration: 123; vars: 25993988; clauses: 200617; decisions: 68501901
iteration: 124; vars: 26201526; clauses: 200113; decisions: 68911764
iteration: 125; vars: 26409064; clauses: 199588; decisions: 69263975
iteration: 126; vars: 26616602; clauses: 198443; decisions: 69682623
iteration: 127; vars: 26824140; clauses: 197918; decisions: 69793514
iteration: 128; vars: 27031678; clauses: 197979; decisions: 70156143
iteration: 129; vars: 27239216; clauses: 197262; decisions: 70391688
iteration: 130; vars: 27446754; clauses: 196971; decisions: 70695306
iteration: 131; vars: 27654292; clauses: 196485; decisions: 70762703
iteration: 132; vars: 27861830; clauses: 196492; decisions: 70819775
iteration: 133; vars: 28069368; clauses: 196457; decisions: 70947663
iteration: 134; vars: 28276906; clauses: 196516; decisions: 70976063
iteration: 135; vars: 28484444; clauses: 196094; decisions: 71515167
iteration: 136; vars: 28691982; clauses: 196052; decisions: 71543127
iteration: 137; vars: 28899520; clauses: 195743; decisions: 72418559
iteration: 138; vars: 29107058; clauses: 195245; decisions: 72449606
iteration: 139; vars: 29314596; clauses: 194608; decisions: 72793502
iteration: 140; vars: 29522134; clauses: 194392; decisions: 73174437
iteration: 141; vars: 29729672; clauses: 194193; decisions: 73214990
iteration: 142; vars: 29937210; clauses: 193865; decisions: 74185632
iteration: 143; vars: 30144748; clauses: 193771; decisions: 74367132
iteration: 144; vars: 30352286; clauses: 193695; decisions: 74874274
iteration: 145; vars: 30559824; clauses: 193628; decisions: 75047492
iteration: 146; vars: 30767362; clauses: 193580; decisions: 75381872
iteration: 147; vars: 30974900; clauses: 193510; decisions: 77218065
iteration: 148; vars: 31182438; clauses: 193176; decisions: 77251422
iteration: 149; vars: 31389976; clauses: 193063; decisions: 77496297
iteration: 150; vars: 31597514; clauses: 192504; decisions: 79971758
iteration: 151; vars: 31805052; clauses: 192193; decisions: 81169906
iteration: 152; vars: 32012590; clauses: 191623; decisions: 82840993
iteration: 153; vars: 32220128; clauses: 191008; decisions: 84156308
iteration: 154; vars: 32427666; clauses: 190592; decisions: 85389469
iteration: 155; vars: 32635204; clauses: 190444; decisions: 85474792
iteration: 156; vars: 32842742; clauses: 190156; decisions: 85583740
iteration: 157; vars: 33050280; clauses: 189876; decisions: 86121656
iteration: 158; vars: 33257818; clauses: 189770; decisions: 86704833
iteration: 159; vars: 33465356; clauses: 189339; decisions: 86887294
iteration: 160; vars: 33672894; clauses: 188758; decisions: 87198687
iteration: 161; vars: 33880432; clauses: 188697; decisions: 87622563
iteration: 162; vars: 34087970; clauses: 188149; decisions: 88643149
iteration: 163; vars: 34295508; clauses: 187455; decisions: 89016191
iteration: 164; vars: 34503046; clauses: 187257; decisions: 89639476
iteration: 165; vars: 34710584; clauses: 184198; decisions: 94329445
iteration: 166; vars: 34918122; clauses: 161742; decisions: 106219882
iteration: 167; vars: 35125660; clauses: 155617; decisions: 118464501
iteration: 168; vars: 35333198; clauses: 150899; decisions: 125681535
iteration: 169; vars: 35540736; clauses: 100701; decisions: 222091947
finished solver loop.
key=000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
iteration=169; backbones_count=0; cube_count=94362300; cpu_time=16906.4; maxrss=1822.78
